Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
82.2,123.6,3.4,8.4,85077,13234,8,61,251,2182003,1249,1490
12,119.3,3.3,77.5,98595,10105,5,61,186,2184836,1249,1490
304.6,158.2,2.9,0,56526,6796,33,71,911,2186877,1249,1490
12,120.4,3.2,70,101823,10296,4,61,220,2191810,1249,1490
11.7,129.9,9,59.6,72401,14742,10,61,297,2196637,1249,1490
20,94.1,2.2,47.3,90828,15609,11,61,246,2200280,1262,1503
12,120.1,3,69.1,86486,8499,6,61,264,2203104,1262,1503
26.4,92.4,2.3,34.8,91541,14184,11,62,287,2206740,1262,1503
35.1,96.7,3,24.8,88493,14653,10,61,292,2209820,1262,1503
11.4,120.9,2.9,75.9,72249,8205,6,61,268,2212226,1262,1503
319.6,129.8,3.2,0,90385,8525,8,61,223,2214381,1262,1503
200.9,128.9,2.6,1.9,62143,8775,11,61,333,2218843,1262,1503
25.9,97.8,2.4,35.4,57481,15813,23,61,403,2221603,1262,1503
11.6,123.1,2.6,72.8,67905,10471,11,61,279,2224166,1262,1503
117,106.3,3,5.4,96716,14571,7,62,194,2227813,1262,1503
36.7,97.4,3.2,23.8,75758,14493,12,61,279,2230481,1262,1503
20.9,123,3,44.5,45146,21116,45,62,632,2234470,1262,1503
11.9,133.9,2.8,80.8,70928,9632,18,76,1014,2239911,1262,1503
27,92.8,3.1,33.7,95343,15163,8,61,302,2242643,1262,1503
11.5,119.6,2.5,82.9,78336,9495,7,60,222,2245240,1262,1503
120.7,127.5,3,5,87832,9456,6,61,219,2247310,1262,1503
11.7,119.2,2.8,74.4,72043,9432,9,62,393,2251734,1262,1503
22.8,125,3.1,29.4,46235,17543,53,72,1328,2255159,1262,1503
11.2,119.9,2.2,78.7,100492,9799,5,62,260,2259969,1262,1503
32.3,108.7,2.5,27.9,86640,17841,10,61,298,2262723,1262,1503
98.8,131.3,3.7,6.4,86420,13058,10,62,342,2269058,1262,1503
106.4,134.5,4.4,0,96393,14302,9,62,295,2280715,1284,1527
12.4,125.3,3.2,73.3,98585,11662,10,63,334,2287835,1284,1527
100.5,130.1,2.6,6.5,101091,13489,8,61,270,2291131,1284,1527
31.1,93.7,2.3,29.1,121687,22779,7,61,271,2295336,1284,1527
87.4,119,2.2,8.8,92265,14261,7,61,241,2300860,1309,1554
104.3,133.1,3.1,6.3,85494,16413,12,61,280,2304423,1309,1554
12,131,8.9,73.7,89702,12432,11,62,391,2309740,1309,1554
80.1,127.6,3.4,9.1,85511,11818,7,60,239,2312718,1309,1554
96.2,124.3,2.8,7.5,80363,25625,19,61,339,2317630,1309,1554
10.8,124.8,2.9,85.7,89925,13935,8,62,291,2325211,1309,1554
64.3,130.2,3.2,11.8,98865,12995,8,61,334,2328632,1309,1554
11.7,121.2,2.8,79.5,97300,9757,8,61,256,2333861,1320,1566
111.3,150.6,4.3,5.3,45407,10192,42,64,600,2336632,1320,1566
12.1,125.1,2.7,79.5,62332,12824,12,62,334,2342416,1320,1566
60.1,128.3,3.3,12.1,90078,11049,7,61,259,2345328,1320,1566
11.3,125.5,4.1,78.6,82765,12685,11,61,342,2351250,1320,1566
134.6,123.1,2.4,4.6,74382,17599,17,61,344,2358533,1342,1590
11.7,121.2,3.1,79.1,81490,9649,12,61,334,2364831,1342,1590
57.4,128.7,3.7,13.6,82141,10835,8,62,285,2367706,1342,1590
11.8,124.2,3.1,81.1,91314,13954,9,61,295,2373374,1342,1590
130.8,131.6,3.3,3.2,79374,10640,11,62,238,2376244,1342,1590
11.6,123.4,3.7,80.2,76419,9660,8,61,237,2381070,1342,1590
10.9,125,2.4,88,74027,20374,15,61,306,2385239,1342,1590
104.3,131.2,2.6,5.8,119268,17393,9,61,279,2388225,1342,1590
11.4,130.8,2.3,84,88626,11628,18,66,975,2393811,1342,1590
78.6,132.9,5.3,2.2,71853,13708,10,61,409,2396321,1342,1590
27.3,107.9,3.3,30.5,69463,21636,17,61,300,2400354,1342,1590
32.9,95,2.9,26.9,74094,14769,10,61,289,2404145,1342,1590
30.5,138.3,12.7,0,76311,29100,19,62,308,2409497,1342,1590
100,131.9,4.4,0,101599,17000,13,61,373,2413762,1342,1590
12.1,121.1,3.5,72.2,95380,17470,12,61,294,2421470,1342,1590
96.4,131.9,5.3,0,70500,13940,16,62,458,2424850,1342,1590
12.2,139.2,21.2,41.8,100183,16955,10,61,304,2431851,1342,1590
16.1,160.5,3.2,58.5,49079,12968,59,70,1088,2438807,1342,1590
95.8,157.1,4.2,0,45589,14225,31,73,1034,2441848,1342,1590
11.9,119.6,3.7,69.4,89532,12396,8,61,321,2446869,1342,1590
144.3,125.3,2.5,3.3,89084,16035,8,60,264,2449730,1342,1590
12.1,133.9,16.6,43.4,87439,17025,10,61,267,2456286,1342,1590
10.2,127.5,7.2,89.8,22697,108,2,60,577,2458463,1342,1591
132.5,123.5,3,3.7,21151,98,3,61,574,2458742,1342,1591
152,124.9,6,0,27117,90,1,61,552,2459300,1342,1591
10.2,124.7,5.8,91.9,26762,95,2,61,372,2459852,1342,1591
118.4,151.5,7.4,0,8833,90,50,73,3255,2460947,1342,1591
10.5,129.7,4.7,87.4,23332,100,1,61,763,2461493,1342,1591
12.1,122.4,6.9,57.3,32332,98,1,61,546,2462027,1342,1591
8.8,115.4,3.2,104.3,24949,69,18,61,731,2462852,1342,1591
118.7,146.6,4.4,1.5,14912,93,21,71,3830,2463110,1342,1591
11.1,123.4,2.9,86.5,12357,87,5,61,564,2463644,1342,1591
270.3,128.8,4,0,16723,85,5,61,663,2463911,1342,1591
10.7,123.3,3.2,90,25963,88,2,61,436,2464448,1342,1591
10.1,119.6,6.4,73.7,20210,120,6,61,571,2464997,1342,1591
22.6,137,6,40.5,9889,93,26,67,1564,2465537,1342,1591
107.9,131.1,5.2,3.2,23691,121,5,69,2933,2465819,1342,1591
10.6,124.1,2.8,90.1,20547,109,3,61,512,2466365,1342,1591
11.5,121.9,6.9,56.6,27710,86,1,61,739,2466911,1342,1591
117.6,124.4,3.2,5,20717,79,2,61,551,2467175,1342,1591
8,134,7.5,118.5,20783,93,26,61,1680,2467706,1342,1591
11.5,138.3,6.5,78.2,9934,84,20,71,4115,2467982,1342,1591
107.8,125.5,5.2,2.2,23763,107,1,61,774,2468249,1342,1591
10.5,121.2,2.4,92.4,19398,88,2,61,481,2468525,1342,1591
10.9,127.2,3.3,88.3,24504,88,3,62,537,2469080,1342,1591
107.3,127,5.5,2,26564,89,1,60,510,2469350,1342,1591
12.1,119.7,2.9,74.3,17836,90,4,61,681,2469620,1342,1591
125.4,125.1,4.6,2.1,26493,90,1,61,705,2469890,1342,1591
11.6,116.3,5.1,63.7,19630,118,2,61,387,2470427,1342,1591
113.6,122.5,2.3,5.1,30440,80,1,61,602,2470691,1342,1591
9.1,140.3,5.6,96.3,4606,88,45,61,1706,2471231,1342,1591
161.7,161.8,8.4,0,4675,94,49,74,4190,2471492,1342,1591
11.5,117.4,2.4,79.1,21696,78,2,61,696,2472023,1342,1591
118.1,123.3,2.5,4.3,24288,88,3,60,806,2472293,1342,1591
11.3,128.2,5.6,82.9,20613,102,5,60,463,2473115,1342,1591
10.8,126.8,3,88.8,28120,100,1,61,553,2473946,1342,1591
10.4,144.2,8.9,85.3,10644,94,40,78,3388,2474768,1342,1591
146.6,128.9,5,1.1,22122,89,1,72,2542,2475032,1342,1591
11.6,117.3,2.8,78.1,32398,94,1,61,630,2475564,1342,1591
11.4,120.5,6.9,60.1,43629,87,0,61,424,2475842,1342,1591
206.7,128.7,3.1,1.5,27292,82,2,61,409,2476115,1342,1591
140.2,121.2,2.7,3.6,21674,118,3,62,447,2476679,1342,1591
144.3,123.9,3,3,32360,92,1,61,368,2476955,1342,1591
11.3,115.3,4,82.2,23629,102,2,61,398,2477237,1342,1591
108.5,120.1,3.1,5.1,23491,105,1,61,487,2477513,1342,1591
131.8,129.6,4.3,1.7,19619,88,2,60,635,2478071,1342,1591
