Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
90,4294987.5,12.3,0,112108,10366,4,2,108,207348,439,493
89.7,4294987,10.4,0,126814,12864,8,2,64,208539,439,493
89.7,4294985.5,10,0,137197,14265,5,6,112,209741,439,493
89.8,4294987.5,11.5,0,110721,10741,6,2,82,210789,439,493
90,4294987.5,11.8,0,107309,8777,4,2,91,211732,439,493
90,4294991,16.5,0,112148,7850,4,1,74,212651,439,493
90.1,4294987.5,11.8,0,89441,5917,4,3,70,213407,439,493
90.7,4294987.5,11.9,0,82606,5260,4,3,79,214047,439,493
90,4294987,11.8,0,61419,4806,4,2,105,214686,439,493
91.3,4294987.5,12.5,0,55377,2542,4,2,130,215179,439,493
90,4294986,10.6,0,48199,1630,4,1,159,215618,439,493
89.7,4294986.5,11.7,0,51137,1195,4,1,129,216037,439,493
90.2,4294986.5,11.2,0,52522,1344,4,1,147,216448,439,493
91.3,4294987.5,12.7,0,52648,1366,4,1,115,216888,439,493
89.8,4294986.5,11.6,0,46379,1503,4,1,138,217314,439,493
90.4,4294985.5,11.2,0,43530,934,4,2,107,217713,439,493
90.2,4294985.5,11.3,0,43896,1748,5,3,116,218136,439,493
90.1,4294986,11.4,0,56100,1952,4,1,105,218584,439,493
91.7,4294987,12.1,0,60559,2890,4,1,101,219061,439,493
90.6,4294986.5,11,0,53321,2061,4,1,113,219505,439,493
89.6,4294987.5,12.1,0,53268,2971,8,1,119,219984,439,493
90.5,4294985.5,10.8,0,51936,1394,5,1,101,220412,439,493
89.7,4294986.5,11.9,0,53489,2732,5,1,109,220919,439,493
90.2,4294988.5,13.8,0,44303,1325,4,1,126,221345,439,493
89.7,4294986.5,12,0,75023,2732,4,1,90,221799,439,493
89.7,4294986.5,12.3,0,58729,2926,4,1,147,222302,439,493
89.8,4294986,10.7,0,41471,2430,6,1,139,222739,439,493
90.4,4294987,11.8,0,66850,2235,4,1,106,223191,439,493
