Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
56.4,124.8,39.6,0,39653,13872,28,66,453,5552353,4672,5722
40.5,102.2,3.3,22,41017,11807,29,66,404,5554027,4680,5732
58.3,118.4,32.2,0,41468,9226,22,66,297,5557275,4680,5732
59.9,115.4,30.5,0,31266,7887,25,67,361,5558658,4680,5732
57.7,120.4,33.4,0,32759,13675,24,66,381,5560492,4680,5732
56.5,120.7,32.1,0,33818,19683,38,66,387,5562459,4680,5732
54.6,128.1,37.3,0,46366,24253,29,66,363,5565039,4680,5732
53.4,136,43.4,0,39585,25775,43,67,629,5568001,4680,5732
53.1,122.8,33.1,0,38676,17412,30,67,495,5570397,4680,5732
52.8,133.3,45.2,0,47121,19108,32,67,436,5572754,4680,5732
54,136.1,33.6,0,16851,18294,100,67,624,5575271,4680,5732
53.2,133.3,44.3,0,36561,19747,33,67,467,5577667,4680,5732
53,133.8,39.1,0,30639,25714,56,66,645,5580479,4680,5732
54.3,133.6,43.1,0,28692,21399,50,67,760,5583046,4680,5732
52.6,212.9,58.7,0,79783,15884,100,73,2060,5585382,4680,5732
51.9,150.2,44.8,0,6774,5434,89,85,3480,5586276,4680,5732
102.8,133.6,18.2,0,8019,5526,97,83,3453,5587118,4689,5745
53.4,147,25,0,11687,4423,96,84,2814,5587930,4689,5745
54.1,131.8,46.9,0,25879,4449,15,66,704,5588698,4689,5745
53.1,131.6,46.6,0,37395,11109,23,66,289,5589933,4689,5745
53,130.4,40.3,0,24784,17235,56,66,547,5591954,4689,5745
53.3,132.9,42.4,0,40693,22618,34,67,446,5594553,4689,5745
53.1,137.5,44.7,0,42402,23072,36,71,696,5597342,4689,5745
53.6,131.9,43.7,0,49918,18739,22,68,498,5599725,4689,5745
53.9,129.5,39.3,0,41292,22850,40,66,428,5602407,4689,5745
53.3,136.3,40.1,0,30100,28790,66,66,603,5605567,4689,5745
54.3,127.5,21.3,0,20220,23421,95,67,703,5608627,4689,5745
53.6,134.5,41.8,0,49391,26356,31,67,485,5611650,4689,5745
54,131.8,41.7,0,46193,21730,31,69,502,5614447,4689,5745
54.6,131.8,40.9,0,45703,24577,34,66,461,5617157,4689,5745
54.9,133.8,41.4,0,31868,24179,51,67,439,5620246,4689,5745
54,261,3.9,0,74581,6097,19,294,2787,5623012,4725,5783
4.6,127.2,3.9,214.8,26142,1997,33,89,2028,5624130,4727,5799
20,107.4,3.7,46.7,54534,2170,9,65,309,5626027,4727,5799
24.9,104.5,3.4,36,45371,2263,16,65,301,5627944,4727,5799
26.7,100.3,1.9,29.1,33416,3708,10,65,532,5630322,4727,5799
26.2,102.1,2.2,35.2,45398,4478,9,66,480,5630924,4727,5799
133.4,105.6,3.2,4.6,41200,8506,14,66,349,5631780,4727,5799
22.9,107.1,2.7,36.8,48162,14332,20,65,537,5634524,4727,5799
151.4,112.6,3.1,3.1,40780,14412,23,65,498,5636139,4727,5799
26.3,112.2,2.3,32,33113,18918,33,69,454,5639857,4727,5799
168.7,110.2,2.7,3.2,36272,15292,24,66,514,5641814,4727,5799
53.7,137.5,13.1,0,26306,13039,90,93,1890,5643721,4727,5799
53.3,123,28.1,0,31867,13163,34,68,630,5645576,4727,5799
