Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
22.1,87.8,2.4,41.6,82696,9553,8,60,366,2666773,1508,1700
26.2,87.2,2.2,34.9,80146,15253,12,60,304,2669965,1508,1700
43.8,95.8,2.2,20.1,52921,21928,27,61,397,2674018,1514,1708
107.6,104.4,2.3,6.3,53480,21371,27,60,377,2678296,1514,1708
19.6,96.4,2,47.5,58855,21912,23,60,350,2682907,1514,1708
31,91.4,2.9,29.3,58236,22234,20,60,300,2687203,1514,1708
29.1,94.8,2.4,31.5,96087,27671,16,60,264,2692040,1514,1708
16.7,95.2,2.2,57.2,82027,32219,26,60,416,2697867,1514,1708
11.4,87.6,2.3,83.8,92532,13819,8,59,370,2703351,1514,1708
121.5,135.7,2.5,5.5,18317,21818,100,76,1355,2708932,1514,1708
357.9,155.8,3.4,0,24200,8028,67,73,1277,2711011,1514,1708
32.1,87.5,5,20.1,82708,6831,3,59,271,2714040,1514,1708
27,87.8,2.7,34.2,65971,14655,11,60,238,2716572,1514,1708
44,102.4,2.6,13.3,45014,21411,29,60,429,2720160,1514,1708
29.3,90,2.2,31.4,86377,22657,14,60,333,2724251,1514,1708
26.6,89.2,2.6,34,77404,24587,17,59,314,2729579,1514,1708
22.3,115.3,2.6,41.9,80210,33064,24,60,408,2735342,1514,1708
309.8,128.7,2.2,0,63819,22097,22,59,440,2740593,1514,1708
80.1,101.8,2.6,9.6,46868,3185,13,76,1513,2748111,1563,1759
26.6,95.6,2.5,34.7,24856,3868,23,62,925,2749256,1563,1759
99.4,121.6,2.9,7.3,30208,5043,12,59,458,2750516,1563,1759
33.1,87.1,2.8,27.4,66005,8446,7,59,263,2751872,1563,1759
19.6,98.6,2.5,48.1,82324,14348,11,60,212,2754200,1563,1759
22.2,92.7,2.4,42.3,65285,21300,16,59,271,2757374,1563,1759
28,90.5,2.3,32.7,83379,22160,13,59,288,2761152,1563,1759
47.6,108.1,2.5,5.5,36489,25821,77,60,617,2765892,1563,1759
34.8,89.3,1.8,26,84028,16918,16,60,485,2769578,1563,1759
34.5,93.2,2.4,25.4,81916,22185,15,60,305,2773032,1563,1759
114.6,149.5,2.6,5.9,247962,23736,29,70,1081,2777006,1563,1759
32.7,143,23.5,5.8,40023,19942,49,71,1222,2779537,1563,1759
22.9,86.6,2.7,40.2,64561,9705,7,59,265,2782126,1563,1759
29.3,87.5,2.9,30.8,87685,15824,10,59,227,2785288,1563,1759
19.3,87.6,2.6,48.2,82227,19079,13,59,301,2789549,1563,1759
36.4,94.2,2.9,24.2,74885,25410,16,59,281,2794580,1563,1759
17.4,87.5,3.4,44.3,114357,13784,7,60,324,2799776,1563,1759
